"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"unifiVapNumStations",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiVapTable.unifiVapEntry.unifiVapNumStations",".1.3.6.1.4.1.41112.1.6.1.2.1.8","INTEGER32","read-only","","UBNT-UniFi-MIB",""
"unifiVapRadio",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiVapTable.unifiVapEntry.unifiVapRadio",".1.3.6.1.4.1.41112.1.6.1.2.1.9","DISPLAYSTRING","read-only","","UBNT-UniFi-MIB",""
"unifiVapRxBytes",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiVapTable.unifiVapEntry.unifiVapRxBytes",".1.3.6.1.4.1.41112.1.6.1.2.1.10","COUNTER32","read-only","","UBNT-UniFi-MIB",""
"unifiVapRxCrypts",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiVapTable.unifiVapEntry.unifiVapRxCrypts",".1.3.6.1.4.1.41112.1.6.1.2.1.11","COUNTER32","read-only","","UBNT-UniFi-MIB",""
"unifiVapRxDropped",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiVapTable.unifiVapEntry.unifiVapRxDropped",".1.3.6.1.4.1.41112.1.6.1.2.1.12","COUNTER32","read-only","","UBNT-UniFi-MIB",""
"unifiVapRxErrors",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiVapTable.unifiVapEntry.unifiVapRxErrors",".1.3.6.1.4.1.41112.1.6.1.2.1.13","COUNTER32","read-only","","UBNT-UniFi-MIB",""
"unifiVapRxFrags",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiVapTable.unifiVapEntry.unifiVapRxFrags",".1.3.6.1.4.1.41112.1.6.1.2.1.14","COUNTER32","read-only","","UBNT-UniFi-MIB",""
"unifiVapRxPackets",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiVapTable.unifiVapEntry.unifiVapRxPackets",".1.3.6.1.4.1.41112.1.6.1.2.1.15","COUNTER32","read-only","","UBNT-UniFi-MIB",""
"unifiVapTxBytes",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiVapTable.unifiVapEntry.unifiVapTxBytes",".1.3.6.1.4.1.41112.1.6.1.2.1.16","COUNTER32","read-only","","UBNT-UniFi-MIB",""
"unifiVapTxDropped",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiVapTable.unifiVapEntry.unifiVapTxDropped",".1.3.6.1.4.1.41112.1.6.1.2.1.17","COUNTER32","read-only","","UBNT-UniFi-MIB",""
"unifiVapTxErrors",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApWireless.unifiVapTable.unifiVapEntry.unifiVapTxErrors",".1.3.6.1.4.1.41112.1.6.1.2.1.18","COUNTER32","read-only","","UBNT-UniFi-MIB",""
